path,sha256,bytes
BUILD_DEBUG_X86.cmd,33818ce032a61d5afeb62b83b48c5cdd7ba29d3412f231c99bf1b7dd4bd2c4ba,1416
BUILD_FINAL_RELEASE_X86.cmd,d0c36681d2c719fbc250405ee448f40d2db3891c75d2be8bf51bd3076b5efac8,3082
BUILD_RELEASE_X86.cmd,50d1f84f13e252cb8609cee0cc981133eeeb63851203bc31e181f2f154b13771,1442
CODEX_RELEASE_INSTRUCTIONS.md,2bf7634852d176d0d90c2d3bdf4f6524372497f5d0054e90decebb159e223b33,1021
DBGHELP.def,7a277d031d524ff6085dec5df0edc99766696041427df50aeaeadefbecb81d79,68
DbgHelpProxy.cpp,f7b4fd2c4a999bda174feebd95b205d8a6b5b2f6000aa0214380d00ff23da3bc,5049
Examples/01 - Spider-Man Character Example/CH_SPIDERMAN/_O0069.0xCFB154CD.T36.apkf/0xAC92103D.ch_spiderman000.mesh,10a7a637c241d8d58ee52c4826936494708a12ff3096724f64e6e79875c22d0e,1592
Examples/01 - Spider-Man Character Example/CH_SPIDERMAN/_O0069.0xCFB154CD.T36.apkf/0xAC92103E.ch_spiderman001.mesh,71f4647cbe060f663898ffb91f2d571f67ce77666b70890ec890d6aa107e7eae,1488
Examples/02 - Loading Screen TEX Example/SPIDERMANLOGO/_O0001.0x348E72F4.T36.apkf/0xDEF62318.i_loading_screen_bkg.tex,9bf7dd914889c41da34135cdf83024b3920df1f6adc7f8d58ee833747b7fe45b,524356
FINAL_RELEASE_PERFORMANCE_CLEANUP.txt,9ffd346966cd8f0791ffde15a74a7d012099fc2711b706ce287d8d018b21acb3,2229
FINAL_RELEASE_VALIDATION.txt,e0b3e8ac430ab34cc0673f79f92d25e2d62a8a1fcf2e31634e11fa67a8a26434,1443
FINAL_SMOKE_TEST.md,c2155390afd272ec9e77b8912e833e3d28ba48d01d0415f6008dfb19fc9291bb,1314
FINAL_SOURCE_VALIDATION.txt,79a030a961759832dd09886fb63d8cb9d9fa7bcbee80425b18399a540565ad21,1362
FINAL_V10_5_72_IMPLEMENTATION_LOCK.txt,a6d9ab9a71399e853ecac9b7887887f8daf76613ca731e4b82d08dc316f8de40,1947
FINAL_WRAP_VALIDATION.txt,6854a571d19584b405c620f597b34b2634b9a6e58654b87fb039631c292f0c5b,832
INI_HOTFIX_README.txt,fe74abf2f031187c60d63fc1ed75b8648fa52a7ce98aba70c1a570eb4352d16d,880
MAKE_RELEASE_PACKAGE.cmd,ed88a2c77b5d15860fb6fa6aed6fabfc66c363eb2ecfc8937de5eff9703077cb,2478
Mods/filelist.apkf.paths.txt,b84f71129fe118884a78729c72deb9754fe53e50f1d6ea00c2ffbfaf58615eb8,22874586
Mods/filelist.apkf.txt,6a23b299c340eca257a90bd9bfc2841571853bc32ed83c653ba5f458f58dbf72,51634119
Mods/filelist.txt,e8ef0f05abc236dff57a80fe86c2cdca087a75439e1b961ad96d1cc370510ee9,1553051
Mods/mods.config.ini,7b89ae37e3e69cd757cc3522173f228ff358409ffa88b82ca9cc157228ef6dd4,748
PROVEN_BASELINE_DO_NOT_DELETE.txt,080049a0256eb02dd5a8ca213f076214f088f4fb4a2c3da94ab873e053b39a80,261
PostFXResearch.cpp,86436c1ce56e97af880d681ec1d9042cd990c5a56ba1fdd25c724e43a0ff9ded,856894
PostFXResearch.hpp,9aeaef54171c8fba1e38487453b24e3b8b6746de81d863feb665abf0b6cad68e,5861
README.md,b701198ef445f3326340d99ecd50d49c766edd4481996a1792e8673a6f147a69,2767
RELEASE_CANDIDATE_SHA256.txt,6745c609a954d7cb24b4769879fa7460b8a64e35d50c7145edff5473a8eb703e,5168
RELEASE_CLEANUP_SUMMARY.md,4890898428e85ac2966952c8a26700b74e4d01b9843c21b792032099abd799cb,1648
VALIDATE_C2712_ACTUAL_FIX.py,62b747f70f6a22b2c277f90d5f36ad25903cfcb218c0dc523669e10478ddd497,2121
VALIDATE_C2712_NO_NEW_SEH.py,60b505e9cf4bf4f3ef31b0aa5e9c52ef82a5274a1b074aa0e79b773369c3e8d3,958
VALIDATE_FINAL_RELEASE_SOURCE.py,2e0b6b796bacb6725df33859e46b0c53061b51a4ec08a59da099cb322dfc79a0,3540
VALIDATE_RELEASE_CANDIDATE.py,3f8c3159c8d82a52a35da7218863740e3812d335d97cf999182e92c05c7eafb3,5807
VALIDATE_RELEASE_PERFORMANCE_CLEANUP.py,465da54a3928c0eab62b84cd73268d36dfc23f23d69fc5231b68c901afa82fef,3361
VALIDATE_WRAP_SUPPORT.py,5febe2221c8fc11cd975810fb4975b2f04e1fef4e6f90c625d9af5fa1c382e3d,8622
WOS_WRAP_EXTERNAL_MAT_TEST_README.md,a0715f341d3eb6805f2e6d617a350dcf7c75e4a369a40117468612c4a7ed59a4,3575
XESM3.def,d7a98e0b4229fff327a60645977765dc77c55b111bca08ef112dffe5570bd27c,100
XESM3.sln,16c31ea0adfb602bc90321746f9782b5e10b0266f33c57de88eef18ea8ddf256,1431
XESM3.vcxproj,7b490878a03072d85b7c6e5189fa9f826970a1ccc4d4c49548e6ebfd19d21415,5596
XESM3Bootstrap.vcxproj,82c858268553247cd0dc792224568a10bb4b77b6130266493ab9e61b207fb818,3911
XESM3ResourceRedirector.cpp,bb9e34d1e0a6f7a5e615a268ef41de5814b4a5af60e46ce86a489eb7cfd02e5b,752447
XESM3ResourceRedirector.hpp,30935378a133d5fe96a665b77b1a2be99f02d462aab174c5d558540b8658f4dc,3529
XESM3RuntimeOptions.cpp,58d1b2a4a237f566794607ce4d115bc30dc7c45d555a6fc785d5598c93ed888b,102
XESM3RuntimeOptions.hpp,c376b210eaae4b926fcab043bf4c76b3a25e96e6d249963f500fd9cd9ead581a,374
XESM3X86Only.hpp,9cb3521461be1c8de28b15e2a25a49e2eae613a2b315dc478a496dfe6a2b7cb4,456
