mesh_hash,mesh_name,mesh_material_field_offset,mat_hash,mat_name,occurrences,unique_pack_count,context_variant_count,context_dependent,serialized_pointer_values,example_packs
0XEA858DE4,mc2_s_forklift000,0x00000080,0X3D7EDAA8,mc2_s_forkliftmc2_s_forklift,1,1,2,1,0x0000020C,MEGACITY_STRIP_MC2.PCPACK
0XEA858DE4,mc2_s_forklift000,0x00000080,0XCAE6F40B,mc5_s_forkliftmc2_s_forklift,1,1,2,1,0x00002214,MEGACITY_STRIP_MC5.PCPACK
0XEA858DE5,mc2_s_forklift001,0x00000080,0X3D7EDAA8,mc2_s_forkliftmc2_s_forklift,1,1,2,1,0x0000020C,MEGACITY_STRIP_MC2.PCPACK
0XEA858DE5,mc2_s_forklift001,0x00000080,0XCAE6F40B,mc5_s_forkliftmc2_s_forklift,1,1,2,1,0x00002214,MEGACITY_STRIP_MC5.PCPACK
0XEA858DE6,mc2_s_forklift002,0x00000080,0X3D7EDAA8,mc2_s_forkliftmc2_s_forklift,1,1,2,1,0x0000020C,MEGACITY_STRIP_MC2.PCPACK
0XEA858DE6,mc2_s_forklift002,0x00000080,0XCAE6F40B,mc5_s_forkliftmc2_s_forklift,1,1,2,1,0x00002214,MEGACITY_STRIP_MC5.PCPACK
0XEA858DE7,mc2_s_forklift003,0x00000080,0X3D7EDAA8,mc2_s_forkliftmc2_s_forklift,1,1,2,1,0x0000020C,MEGACITY_STRIP_MC2.PCPACK
0XEA858DE7,mc2_s_forklift003,0x00000080,0XCAE6F40B,mc5_s_forkliftmc2_s_forklift,1,1,2,1,0x00002214,MEGACITY_STRIP_MC5.PCPACK
0XEA858DE8,mc2_s_forklift004,0x00000080,0X3D7EDAA8,mc2_s_forkliftmc2_s_forklift,1,1,2,1,0x0000020C,MEGACITY_STRIP_MC2.PCPACK
0XEA858DE8,mc2_s_forklift004,0x00000080,0XCAE6F40B,mc5_s_forkliftmc2_s_forklift,1,1,2,1,0x00002214,MEGACITY_STRIP_MC5.PCPACK
0XEA858DE9,mc2_s_forklift005,0x00000080,0X3D7EDAA8,mc2_s_forkliftmc2_s_forklift,1,1,2,1,0x0000020C,MEGACITY_STRIP_MC2.PCPACK
0XEA858DE9,mc2_s_forklift005,0x00000080,0XCAE6F40B,mc5_s_forkliftmc2_s_forklift,1,1,2,1,0x00002214,MEGACITY_STRIP_MC5.PCPACK
0XEA858DEA,mc2_s_forklift006,0x00000080,0X3D7EDAA8,mc2_s_forkliftmc2_s_forklift,1,1,2,1,0x0000020C,MEGACITY_STRIP_MC2.PCPACK
0XEA858DEA,mc2_s_forklift006,0x00000080,0XCAE6F40B,mc5_s_forkliftmc2_s_forklift,1,1,2,1,0x00002214,MEGACITY_STRIP_MC5.PCPACK
0XEA858DEB,mc2_s_forklift007,0x00000080,0X3D7EDAA8,mc2_s_forkliftmc2_s_forklift,1,1,2,1,0x0000020C,MEGACITY_STRIP_MC2.PCPACK
0XEA858DEB,mc2_s_forklift007,0x00000080,0XCAE6F40B,mc5_s_forkliftmc2_s_forklift,1,1,2,1,0x00002214,MEGACITY_STRIP_MC5.PCPACK
0XEA858DEC,mc2_s_forklift008,0x00000080,0X3D7EDAA8,mc2_s_forkliftmc2_s_forklift,1,1,2,1,0x0000020C,MEGACITY_STRIP_MC2.PCPACK
0XEA858DEC,mc2_s_forklift008,0x00000080,0XCAE6F40B,mc5_s_forkliftmc2_s_forklift,1,1,2,1,0x00002214,MEGACITY_STRIP_MC5.PCPACK
0XEA858DED,mc2_s_forklift009,0x00000080,0X3D7EDAA8,mc2_s_forkliftmc2_s_forklift,1,1,2,1,0x0000020C,MEGACITY_STRIP_MC2.PCPACK
0XEA858DED,mc2_s_forklift009,0x00000080,0XCAE6F40B,mc5_s_forkliftmc2_s_forklift,1,1,2,1,0x00002214,MEGACITY_STRIP_MC5.PCPACK
