mat_hash,mat_name,material_texture_field_offset,tex_hash,tex_name,occurrences,unique_pack_count,context_variant_count,context_dependent,serialized_pointer_values,example_packs
0X0006058B,md2i02_panel_armour_bmd2i02_shield_metal,0x00000020,0X9837461B,md2i03_armour_met_dif,1,1,1,0,0x00003280,MEGACITY_STRIP_MD2.PCPACK
0X0006058B,md2i02_panel_armour_bmd2i02_shield_metal,0x00000074,0X6462C2B7,md2i03_env,1,1,1,0,0x0000304F,MEGACITY_STRIP_MD2.PCPACK
0X000CE137,j15i02_conveyorbj15_i01conveyermat,0x00000028,0XCCECEA69,sj15i02_conveyer_00_dif,1,1,1,0,0x00001D35,J15I02.PCPACK
0X000CE137,j15i02_conveyorbj15_i01conveyermat,0x00000030,0XCCED2B1E,sj15i02_conveyer_00_spe,1,1,1,0,0x00001D57,J15I02.PCPACK
0X000CE137,j15i02_conveyorbj15_i01conveyermat,0x00000034,0XCCED2B1E,sj15i02_conveyer_00_spe,1,1,1,0,0x00001D57,J15I02.PCPACK
0X000CE137,j15i02_conveyorbj15_i01conveyermat,0x00000078,0XCCECFB39,sj15i02_conveyer_00_hgt,1,1,1,0,0x00001D46,J15I02.PCPACK
0X000F6B8A,l22_final_lodbottom_lod,0x0000002C,0XA527E5C7,seawall_lod,1,1,1,0,0x0001CCE1,MEGACITY.PCPACK
0X000F6B8A,l22_final_lodbottom_lod,0x00000048,0XA57D2CEE,road_horizon,1,1,1,0,0x0001CD03,MEGACITY.PCPACK
0X0016FB23,g03_final_lodsidewalk_lod,0x0000002C,0X3AB0DE32,sidewalk_lod,1,1,1,0,0x0001ACCE,MEGACITY.PCPACK
0X0016FB23,g03_final_lodsidewalk_lod,0x00000048,0XA57D2CEE,road_horizon,1,1,1,0,0x0001CD03,MEGACITY.PCPACK
0X001AF4EF,mc5i03_secrm_lightbody_mc5i03_secrm_light,0x00000028,0XF6DDEAEF,mc5_s_mtlblkpipes_dif,1,1,1,0,0x00003229,MEGACITY_STRIP_MC5.PCPACK
0X001AF4EF,mc5i03_secrm_lightbody_mc5i03_secrm_light,0x00000030,0X3FE4237C,mc5_s_labwall_spe,1,1,1,0,0x00002D1D,MEGACITY_STRIP_MC5.PCPACK
0X001AF4EF,mc5i03_secrm_lightbody_mc5i03_secrm_light,0x00000034,0XF9295EEB,mc5_s_mtltileflor_spe,1,1,1,0,0x000032C2,MEGACITY_STRIP_MC5.PCPACK
0X001AF4EF,mc5i03_secrm_lightbody_mc5i03_secrm_light,0x00000038,0XF9295EEB,mc5_s_mtltileflor_spe,1,1,1,0,0x000032C2,MEGACITY_STRIP_MC5.PCPACK
0X001AF4EF,mc5i03_secrm_lightbody_mc5i03_secrm_light,0x00000078,0XFA9E9277,mc5_s_mtlstrip_hgt,1,1,1,0,0x000032E4,MEGACITY_STRIP_MC5.PCPACK
0X001AF4EF,mc5i03_secrm_lightbody_mc5i03_secrm_light,0x0000007C,0XCC30EE5F,mc5_s_env,1,1,1,0,0x000030A2,MEGACITY_STRIP_MC5.PCPACK
0X001B3E22,itm_collectablesar_bear,0x00000028,0XB58AF0C0,itm_arsenic_dif,1,1,1,0,0x0001D2B9,MEGACITY.PCPACK
0X001B3E22,itm_collectablesar_bear,0x00000078,0XB58B0190,itm_arsenic_hgt,1,1,1,0,0x0001D2CA,MEGACITY.PCPACK
