mesh_hash,mesh_name,mesh_material_field_offset,mat_hash,mat_name,occurrences,unique_pack_count,context_variant_count,context_dependent,serialized_pointer_values,example_packs
0X0035F83E,itm_lizard_spit000,0x00000080,0X13ECA6E2,itm_lizard_spit02 - default,10,10,1,0,0x00000000|0x00000028|0x00000034|0x00000084|0x000000C0|0x000000D8|0x000001C8,CITY_LIZARD_HEAVY.PCPACK|CITY_LIZARD_LIGHT.PCPACK|LOCATION_CONNORS_1.PCPACK|LOCATION_CONNORS_4.PCPACK|STORY_LIZARD_1_PACK1.PCPACK|STORY_LIZARD_1_PACK2.PCPACK|STORY_LIZARD_1_PACK4.PCPACK|STORY_LIZARD_2.PCPACK
0X004AA050,ma1i15_col_doorblocker000,0x00000080,0X41E20953,ma1i15_col_doorblockermetal,1,1,1,0,0x000009A4,STORY_MAD_BOMBER_1_STUFF.PCPACK
0X004CA0AC,s_blg_balcony_orn000,0x00000090,0X22B7D0F9,s_blg_balcony_ornbalconymain0,4,4,1,0,0x000005BC|0x0000064C|0x000006E8|0x0000091C,H08.PCPACK|J17.PCPACK|M17.PCPACK|MEGACITY_STRIP_L.PCPACK
0X004CA0AC,s_blg_balcony_orn000,0x00000130,0X22B7D0FA,s_blg_balcony_ornbalconymain1,4,4,1,0,0x000005E4|0x00000674|0x00000710|0x00000944,H08.PCPACK|J17.PCPACK|M17.PCPACK|MEGACITY_STRIP_L.PCPACK
0X004CA0AC,s_blg_balcony_orn000,0x000001D0,0X22B7D0FB,s_blg_balcony_ornbalconymain2,4,4,1,0,0x0000060C|0x0000069C|0x00000738|0x0000096C,H08.PCPACK|J17.PCPACK|M17.PCPACK|MEGACITY_STRIP_L.PCPACK
0X004CA0AC,s_blg_balcony_orn000,0x00000270,0X22B7D0FC,s_blg_balcony_ornbalconymain3,4,4,1,0,0x00000634|0x000006C4|0x00000760|0x00000994,H08.PCPACK|J17.PCPACK|M17.PCPACK|MEGACITY_STRIP_L.PCPACK
0X00560835,mc5i01_girder_base000,0x00000080,0X234AA42C,mc5i01_girder_basemc5i01_girder_baseonly,1,1,1,0,0x00000578,MEGACITY_STRIP_MC5.PCPACK
0X007D7E26,grk_res_pd_lw_brk_2p4a000,0x00000080,0X62F74542,grk_res_pd_lw_brk_2p4atesttilemap,1,1,1,0,0x0000A584,MEGACITY.PCPACK
0X007E0A87,grk_res_pd_lw_brk_2p4b000,0x00000080,0X93EAA2A3,grk_res_pd_lw_brk_2p4btesttilemap,1,1,1,0,0x0000F760,MEGACITY.PCPACK
0X007E96E8,grk_res_pd_lw_brk_2p4c000,0x00000080,0XC4DE0004,grk_res_pd_lw_brk_2p4ctesttilemap,1,1,1,0,0x00014270,MEGACITY.PCPACK
