source_pack,source_archive,mesh_name,mesh_hash,mesh_material_field_offset,serialized_material_pointer,mat_name,mat_hash,material_texture_field_offset,serialized_texture_pointer,tex_name,tex_hash,join_scope
CH_SPIDERMAN.PCPACK,_O0069.0xCFB154CD.T36.apkf,ch_spiderman000,0XAC92103D,0x000000C0,0x000004E4,ch_spidermanred,0XAC933008,0x00000024,0x00000A3E,ch_spiderman_webbingred_dif,0X92AAC237,SAME_ARCHIVE
MARYJANE_SCARERIDE.PCPACK,_O0082.0x4F920A48.T36.apkf,ch_spiderman000,0XAC92103D,0x000000C0,0x00000804,ch_spidermanred,0XAC933008,0x00000024,0x00001038,ch_spiderman_webbingred_dif,0X92AAC237,SAME_ARCHIVE
CH_SPIDERMAN.PCPACK,_O0069.0xCFB154CD.T36.apkf,ch_spiderman000,0XAC92103D,0x000000C0,0x000004E4,ch_spidermanred,0XAC933008,0x0000002C,0x00000730,ch_spiderman_webbing_spe,0X038C2751,SAME_ARCHIVE
MARYJANE_SCARERIDE.PCPACK,_O0082.0x4F920A48.T36.apkf,ch_spiderman000,0XAC92103D,0x000000C0,0x00000804,ch_spidermanred,0XAC933008,0x0000002C,0x00000C1A,ch_spiderman_webbing_spe,0X038C2751,SAME_ARCHIVE
CH_SPIDERMAN.PCPACK,_O0069.0xCFB154CD.T36.apkf,ch_spiderman000,0XAC92103D,0x000000C0,0x000004E4,ch_spidermanred,0XAC933008,0x00000030,0x00000741,ch_spiderman_webbing_spx,0X038C2764,SAME_ARCHIVE
MARYJANE_SCARERIDE.PCPACK,_O0082.0x4F920A48.T36.apkf,ch_spiderman000,0XAC92103D,0x000000C0,0x00000804,ch_spidermanred,0XAC933008,0x00000030,0x00000C2B,ch_spiderman_webbing_spx,0X038C2764,SAME_ARCHIVE
CH_SPIDERMAN.PCPACK,_O0069.0xCFB154CD.T36.apkf,ch_spiderman000,0XAC92103D,0x000000C0,0x000004E4,ch_spidermanred,0XAC933008,0x0000003C,0x000009D8,ch_spiderman_tex2_ao,0X8F6EE8BE,SAME_ARCHIVE
MARYJANE_SCARERIDE.PCPACK,_O0082.0x4F920A48.T36.apkf,ch_spiderman000,0XAC92103D,0x000000C0,0x00000804,ch_spidermanred,0XAC933008,0x0000003C,0x00001016,ch_spiderman_tex2_ao,0X8F6EE8BE,SAME_ARCHIVE
CH_SPIDERMAN.PCPACK,_O0069.0xCFB154CD.T36.apkf,ch_spiderman000,0XAC92103D,0x000000C0,0x000004E4,ch_spidermanred,0XAC933008,0x00000080,0x000008C8,ch_spiderman_tex2_nor,0X7D4C383D,SAME_ARCHIVE
MARYJANE_SCARERIDE.PCPACK,_O0082.0x4F920A48.T36.apkf,ch_spiderman000,0XAC92103D,0x000000C0,0x00000804,ch_spidermanred,0XAC933008,0x00000080,0x00000F06,ch_spiderman_tex2_nor,0X7D4C383D,SAME_ARCHIVE
