wos_role,wos_mat_hash,wos_mat_name,wos_tex_hash,wos_tex_name,sm3_player,sm3_mat_hash,sm3_mat_name,sm3_tex_hash,sm3_tex_name,semantic,status
TEX1,0x1BB85418,ch_spiderman_rvbtex1,0xEC7B3775,spiderman_redsuit_tex1_dif,000,0xAC933008,ch_spidermanred,0x92AAC237,ch_spiderman_webbingred_dif,DIFFUSE,PRIMARY
TEX1,0x1BB85418,ch_spiderman_rvbtex1,0xEC7B62D1,spiderman_redsuit_tex1_nor,000,0xAC933008,ch_spidermanred,0x7D4C383D,ch_spiderman_tex2_nor,NORMAL,PRIMARY
TEX1,0x1BB85418,ch_spiderman_rvbtex1,0xEC7B782A,spiderman_redsuit_tex1_spe,000,0xAC933008,ch_spidermanred,0x038C2751,ch_spiderman_webbing_spe,SPECULAR,SHARED_WITH_TEX2
TEX2,0x1BB85419,ch_spiderman_rvbtex2,0xEC8D4FF6,spiderman_redsuit_tex2_dif,000,0x3EF08B55,ch_spidermanblue,0x66CED7A4,ch_spiderman_webbingblue_dif,DIFFUSE,PRIMARY
TEX2,0x1BB85419,ch_spiderman_rvbtex2,0xEC8D7B52,spiderman_redsuit_tex2_nor,000,0x3EF08B55,ch_spidermanblue,0x7D3A1FBC,ch_spiderman_tex1_nor,NORMAL,PRIMARY
TEX2,0x1BB85419,ch_spiderman_rvbtex2,0xEC8D90AB,spiderman_redsuit_tex2_spe,000,0x3EF08B55,ch_spidermanblue,0x038C2751,ch_spiderman_webbing_spe,SPECULAR,CONFLICT_SHARED_HASH
EYES,0x1BB06D4C,ch_spiderman_rvbeyes,0xEC7B3775,spiderman_redsuit_tex1_dif,000,0x1E7B964E,ch_spidermanwhite,0x7D5E2562,ch_spiderman_tex3_dif,DIFFUSE,EYE_UVS_SAMPLE_TEX1_ATLAS
EYES,0x1BB06D4C,ch_spiderman_rvbeyes,0xEC7B62D1,spiderman_redsuit_tex1_nor,000,0x1E7B964E,ch_spidermanwhite,0x7D5E50BE,ch_spiderman_tex3_nor,NORMAL,EYE_UVS_SAMPLE_TEX1_ATLAS
EYES,0x1BB06D4C,ch_spiderman_rvbeyes,0xEC7B782A,spiderman_redsuit_tex1_spe,000,0x1E7B964E,ch_spidermanwhite,0x7D5E6617,ch_spiderman_tex3_spe,SPECULAR,EYE_UVS_SAMPLE_TEX1_ATLAS
TEX1,0x1BB85418,ch_spiderman_rvbtex1,0xEC7B3775,spiderman_redsuit_tex1_dif,001,0x2371F77D,ch_spidermanred_ps3,0xAABCF85E,ch_spideyps3_webbingredalpha_dif,DIFFUSE_ALPHA,NEEDS_001_ALPHA_HANDLING
TEX1,0x1BB85418,ch_spiderman_rvbtex1,0xEC7B62D1,spiderman_redsuit_tex1_nor,001,0x2371F77D,ch_spidermanred_ps3,0xADD4DEDE,ch_spideyps3_tex2_nor,NORMAL,PRIMARY
TEX2,0x1BB85419,ch_spiderman_rvbtex2,0xEC8D4FF6,spiderman_redsuit_tex2_dif,001,0x1076314A,ch_spidermanblue_ps3,0x66CED7A4,ch_spiderman_webbingblue_dif,DIFFUSE,PRIMARY
TEX2,0x1BB85419,ch_spiderman_rvbtex2,0xEC8D7B52,spiderman_redsuit_tex2_nor,001,0x1076314A,ch_spidermanblue_ps3,0x7D3A1FBC,ch_spiderman_tex1_nor,NORMAL,PRIMARY
EYES,0x1BB06D4C,ch_spiderman_rvbeyes,,,001,0x841010C3,ch_spidermanwhite_ps3,0xADE6FFF9,ch_spideyps3_tex3_ppi,CONTROL,SPECIAL_PS3_WHITE_PATH
EYES,0x1BB06D4C,ch_spiderman_rvbeyes,,,001,0x841010C3,ch_spidermanwhite_ps3,0xADE70000,ch_spideyps3_tex3_ppp,CONTROL,SPECIAL_PS3_WHITE_PATH
